KD_PROV,KD_KABKOTA,PROVINSI,KABKOTA,kdprov,kdkab,nmprov,nmkab,thn_prior,PCT_STUNTING_2013,PCT_STUNTING_2018
31,3173,DKI JAKARTA,Kota Jakarta Pusat,31,3171,DKI JAKARTA,Kota Adm. Jakarta Pusat,2021,23.77,23.5
31,3174,DKI JAKARTA,Kota Jakarta Barat,31,3173,DKI JAKARTA,Kota Adm. Jakarta Barat,2021,37.81,14.8
31,3175,DKI JAKARTA,Kota Jakarta Utara,31,3172,DKI JAKARTA,Kota Adm. Jakarta Utara,2021,27.86,19
32,3201,JAWA BARAT,Bogor,32,3201,JAWA BARAT,Kab. Bogor,2018,28.29,32.9
32,3202,JAWA BARAT,Sukabumi,32,3202,JAWA BARAT,Kab. Sukabumi,2018,37.1,41.4
32,3203,JAWA BARAT,Cianjur,32,3203,JAWA BARAT,Kab. Cianjur,2018,41.76,33.5
32,3204,JAWA BARAT,Bandung,32,3204,JAWA BARAT,Kab. Bandung,2018,40.7,35.2
32,3205,JAWA BARAT,Garut,32,3205,JAWA BARAT,Kab. Garut,2018,37.83,34.6
32,3206,JAWA BARAT,Tasikmalaya,32,3206,JAWA BARAT,Kab. Tasikmalaya,2018,41.73,33.8
32,3207,JAWA BARAT,Ciamis,32,3207,JAWA BARAT,Kab. Ciamis,2020,41.44,33.4
32,3208,JAWA BARAT,Kuningan,32,3208,JAWA BARAT,Kab. Kuningan,2018,42,28.7
32,3209,JAWA BARAT,Cirebon,32,3209,JAWA BARAT,Kab. Cirebon,2018,42.47,33.7
32,3210,JAWA BARAT,Majalengka,32,3210,JAWA BARAT,Kab. Majalengka,2019,29.72,36.6
32,3211,JAWA BARAT,Sumedang,32,3211,JAWA BARAT,Kab. Sumedang,2018,41.08,32.2
32,3212,JAWA BARAT,Indramayu,32,3212,JAWA BARAT,Kab. Indramayu,2018,36.12,34
32,3213,JAWA BARAT,Subang,32,3213,JAWA BARAT,Kab. Subang,2018,40.47,28.6
32,3214,JAWA BARAT,Purwakarta,32,3214,JAWA BARAT,Kab. Purwakarta,2020,33.91,41
32,3215,JAWA BARAT,Karawang,32,3215,JAWA BARAT,Kab. Karawang,2018,34.87,33.1
32,3216,JAWA BARAT,Bekasi,32,3216,JAWA BARAT,Kab. Bekasi,2020,30.27,26.4
32,3217,JAWA BARAT,Bandung Barat,32,3217,JAWA BARAT,Kab. Bandung Barat,2018,52.55,36.7
32,3218,JAWA BARAT,Pangandaran,32,3218,JAWA BARAT,Kab. Pangandaran,2022,41.44,32.7
32,3271,JAWA BARAT,Kota Bogor,32,3271,JAWA BARAT,Kota Bogor,2021,29.81,27.8
32,3272,JAWA BARAT,Kota Sukabumi,32,3272,JAWA BARAT,Kota Sukabumi,2022,41.98,29
32,3273,JAWA BARAT,Kota Bandung,32,3273,JAWA BARAT,Kota Bandung,2020,32.22,21.7
32,3274,JAWA BARAT,Kota Cirebon,32,3274,JAWA BARAT,Kota Cirebon,2022,28.38,31.2
32,3275,JAWA BARAT,Kota Bekasi,32,3275,JAWA BARAT,Kota Bekasi,2020,26.59,16.7
32,3276,JAWA BARAT,Kota Depok,32,3276,JAWA BARAT,Kota Depok,2020,25.69,23.2
32,3277,JAWA BARAT,Kota Cimahi,32,3277,JAWA BARAT,Kota Cimahi,2021,28.17,21.1
32,3278,JAWA BARAT,Kota Tasikmalaya,32,3278,JAWA BARAT,Kota Tasikmalaya,2021,30.73,25.7
32,3279,JAWA BARAT,Kota Banjar,32,3279,JAWA BARAT,Kota Banjar,2022,39.2,27.9
33,3301,JAWA TENGAH,Cilacap,33,3301,JAWA TENGAH,Kab. Cilacap,2018,36.32,32.1
33,3302,JAWA TENGAH,Banyumas,33,3302,JAWA TENGAH,Kab. Banyumas,2018,33.49,32
33,3303,JAWA TENGAH,Purbalingga,33,3303,JAWA TENGAH,Kab. Purbalingga,2018,36.75,28.9
